GemeentecodeGM,Gemeentenaam,train_share_in_nl,has_tram_metro,buildings_total,arable_land_km2,number_of_vans_data,number_of_trucks_data,number_of_busses_data,greenhouse_scaled,arable_land_scaled,wet_biomass_potential,dry_biomass_potential,oily_biomass_potential,number_of_cars_data,total_land_area_km2,coast_line_km,households_roof_pv_potential,buildings_roof_pv_potential
GM0098,Weststellingwerf,0.000536552,0,3518.004923,182.2376056,2146,93,24,4.00E-06,0.008170453,0.644779897,0.16617119,0.015699424,14856,220.1997305,0,1.508618,1.632473
GM0189,Wierden,0.000426074,0,1727.788692,72.89430132,3945,98,15,0,0.003268148,0.234430538,0.125856489,0.014794763,19795,94.60462956,0,1.001793,1.297638
GM0296,Wijchen,0.001540359,0,2611.315077,43.81159324,2365,190,1,0.000203045,0.001964252,0.190682114,0.128849688,0.024880306,22302,66.03894089,0,1.484765,1.817977
GM1696,Wijdemeren,0,0,1716.002,26.55589144,1794,155,11,0.000173583,0.001190609,0.367442974,0.075978441,0.014589406,14695,47.53737366,0,0.866486,0.794225
GM0352,Wijk bij Duurstede,0,0,1525.401077,36.72100062,1183,41,8,0,0.001646352,0.125458521,0.079812653,0.014436908,12719,47.57690934,0,0.804302,0.608178
GM0294,Winterswijk,0.001522144,0,3282.319462,103.8861538,1576,121,10,8.77E-05,0.004657639,0.251653786,0.13127805,0.017560389,14943,138.130666,0,1.295379,1.717978
GM0873,Woensdrecht,0,0,2012.159769,41.96952466,1270,54,2,0.000120041,0.001881664,0.210724924,0.105113501,0.013284969,12788,91.65695355,0,0.902381,1.253933
GM0632,Woerden,0.005209899,0,2864.289154,71.7566812,3238,306,10,0.005407259,0.003217144,0.279898837,0.15444704,0.031712957,25779,88.55493308,0,1.561089,2.384823
GM1690,De Wolden,0,0,3090.023692,185.0162122,2239,125,5,0,0.008295029,0.391070825,0.223271981,0.01464834,14855,224.3901197,0,1.539278,1.422012
GM0880,Wormerland,0,0,832.6015385,32.27389727,951,30,1,0,0.00144697,0.144833613,0.048548529,0.009920894,8230,38.51407294,0,0.482727,0.473255
GM0351,Woudenberg,0,0,874.2945385,22.52227481,1156,56,7,0,0.001009765,0.092237972,0.078550005,0.007999172,7079,36.52183991,0,0.442028,0.596817
GM0479,Zaanstad,0.015339839,0,6921.701385,35.94357632,6995,263,67,0.000557483,0.001611497,0.414401548,0.402910059,0.094709933,68201,73.7406149,0,3.498931,3.695766
GM0297,Zaltbommel,0.001295644,0,8030.801231,59.47117513,2498,252,2,0.025089958,0.002666335,0.192271776,0.10976381,0.01728577,15940,78.64963347,0,1.736221,4.543084
GM0473,Zandvoort,0.002168382,0,1706.398923,0.105881717,667,14,1,0,4.75E-06,0.048425032,0.045680434,0.010335251,8059,32.07873504,10.2270558,0.52455,0.215479
GM0050,Zeewolde,0,0,2519.630538,173.0782562,1430,98,0,0.000113555,0.007759802,0.959882971,0.219134218,0.013554119,12579,247.1078886,0,0.663054,1.802805
GM0355,Zeist,0.000706031,0,4910.841231,5.905604443,2351,47,1,0,0.000264772,0.130340402,0.185267104,0.038843922,32370,48.50066543,0,1.821482,1.240746
GM0299,Zevenaar,0.00144176,0,2716.598462,67.88729468,2309,106,2,0.000314124,0.003043664,0.235904421,0.137924571,0.026421693,24878,92.61745821,0,1.646113,1.765181
GM0637,Zoetermeer,0.002541395,1,5736.312615,7.012347242,3648,184,16,3.41E-06,0.000314392,0.239166782,0.335464609,0.075911331,58492,34.42941194,0,2.650503,1.882734
GM0638,Zoeterwoude,0,0,630.7127692,17.50405035,670,62,0,0.000338157,0.000784778,0.058928538,0.026889891,0.005133906,4490,21.15530203,0,0.290719,0.643194
GM1892,Zuidplas,0.001134876,0,3056.644154,41.03512023,2877,172,4,0.026034767,0.001839771,0.199402245,0.12412914,0.025980602,23432,57.95686909,0,1.24696,4.649076
GM0879,Zundert,0,0,2539.489923,95.35570306,1902,135,2,0.007103866,0.004275184,0.237909868,0.131171033,0.013130648,13157,120.5902315,0,1.169241,2.316032
GM0301,Zutphen,0.004261924,0,3311.786615,19.44432542,1704,141,4,0.00086797,0.000871768,0.132724937,0.139128828,0.028925459,22824,40.91939582,0,1.379042,1.431718
GM1896,Zwartewaterland,0,0,1799.184923,67.65126429,2621,190,0,0,0.003033081,0.250559944,0.079561889,0.013671987,11741,82.35556428,0,0.841088,1.500194
GM0642,Zwijndrecht,0.001713798,0,2239.274154,5.419071857,2019,105,0,0.0005388,0.000242959,0.088153871,0.119010157,0.027120998,22118,20.30732128,0,1.04609,1.373903
GM0193,Zwolle,0.017017603,0,7842.489,66.07216188,5862,211,14,9.37E-05,0.002962284,0.383969406,0.357320329,0.077462439,58042,110.6724722,0,3.407882,3.473898
