,Gemeentenaam,energetic_emissions_other_ghg_agriculture,energetic_emissions_other_ghg_buildings,energetic_emissions_other_ghg_energy,energetic_emissions_other_ghg_households,energetic_emissions_other_ghg_industry,energetic_emissions_other_ghg_transport,indirect_emissions_co2,non_energetic_emissions_co2_agriculture_manure,non_energetic_emissions_co2_agriculture_soil_cultivation,non_energetic_emissions_co2_chemical_industry,non_energetic_emissions_co2_other_industry,non_energetic_emissions_co2_waste_management,non_energetic_emissions_other_ghg_agriculture_fermentation,non_energetic_emissions_other_ghg_agriculture_manure,non_energetic_emissions_other_ghg_agriculture_other,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,non_energetic_emissions_other_ghg_chemical_industry,non_energetic_emissions_other_ghg_other_industry,non_energetic_emissions_other_ghg_waste_management
GM0820,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0823,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0824,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0826,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0828,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0840,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0845,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0847,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0848,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0851,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0852,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0855,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0858,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0861,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0865,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0866,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0867,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0873,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0879,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0880,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0882,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0888,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0889,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0893,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0899,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0907,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0917,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0928,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0935,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0938,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0944,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0946,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0957,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0965,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0971,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0981,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0983,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0984,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0986,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0988,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0994,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0995,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1507,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1509,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1525,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1581,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1586,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1598,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1621,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1640,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1641,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1652,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1655,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1658,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1659,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1667,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1669,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1674,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1676,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1680,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1681,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1690,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1695,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1696,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1699,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1700,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1701,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1705,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1706,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1708,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1709,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1711,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1714,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
